Designator,Mid X,Mid Y,Rotation,Layer
A1,-91.574999,13.156974,180.0,top
BT1,-135.139523,53.23126,0.0,top
C17,-50.514998,54.366973,90.0,top
C18,-49.594998,54.366974,90.0,top
C19,-48.014998,54.366973,90.0,top
C20,-47.094998,54.366974,90.0,top
C21,-45.507998,54.366974,90.0,top
C22,-44.587999,54.366974,90.0,top
C23,-43.015998,54.366974,90.0,top
C24,-42.095998,54.366973,90.0,top
C25,-36.004998,63.656974,0.0,top
C26,-134.969999,37.153184,180.0,top
C27,-134.969999,38.153184,180.0,top
C28,-134.804297,34.893076,90.0,top
C29,-133.804297,34.893077,90.0,top
C30,-136.829646,21.031975,270.0,top
C31,-138.264968,43.749177,0.0,top
C32,-135.235459,40.185959,180.0,top
C49,-49.219999,13.405799,0.0,top
C50,-49.219999,12.35386,0.0,top
C51,-35.179999,18.826974,180.0,top
C52,-35.179999,19.816745,180.0,top
C53,-35.088004,2.607414,90.0,top
C54,-36.069875,2.607413,90.0,top
C55,-49.639999,34.365571,0.0,top
C56,-49.639999,35.346974,0.0,top
C57,-35.179999,26.256974,180.0,top
C58,-35.179999,27.286384,180.0,top
C59,-35.224262,43.876974,180.0,top
C60,-35.224262,44.796974,180.0,top
C64,-8.199999,41.481974,90.0,top
C65,-57.199999,6.257911,90.0,top
C66,-145.058721,61.861201,0.0,top
C67,-6.599999,41.481974,90.0,top
C68,-55.16991,6.256974,90.0,top
C70,-25.349999,54.65636,180.0,top
C71,-14.559999,54.65636,180.0,top
C74,-20.417307,56.677974,270.0,top
C75,-9.741069,56.677974,270.0,top
C76,-21.917307,56.677974,270.0,top
C77,-11.241069,56.677974,270.0,top
C78,-26.417307,57.247974,90.0,top
C79,-15.741069,57.247974,90.0,top
C80,-23.417307,56.677974,270.0,top
C81,-12.741069,56.677974,270.0,top
C82,-24.917307,56.677974,270.0,top
C83,-14.241069,56.677974,270.0,top
C84,-133.037264,67.401675,270.0,top
C86,-7.949999,22.796341,270.0,top
C87,-5.527736,30.242026,0.0,top
C88,-5.527736,29.222026,0.0,top
C89,-7.952078,11.7235,90.0,top
D1,-40.451998,56.405975,270.0,top
D15,-6.95127,50.22153,90.0,top
D16,-3.05127,50.22153,90.0,top
D17,0.84873,50.22153,90.0,top
D2,-37.499999,56.419474,90.0,top
D21,-145.038721,62.856201,180.0,top
D22,-134.736079,1.14465,90.0,top
D24,-88.304143,3.075984,180.0,top
D26,-135.249999,67.40894,180.0,top
D3,-40.104998,63.176975,270.0,top
D4,-35.704999,60.346974,0.0,top
D5,-138.676776,33.756974,0.0,top
D6,-136.706776,33.756974,180.0,top
D7,-138.305,27.219758,270.0,top
D8,-138.305,25.234758,90.0,top
D9,-49.199999,0.777647,90.0,top
DC78,-12.809999,68.681974,270.0,top
F1,-35.704998,62.156974,0.0,top
F2,-139.342499,18.326974,180.0,top
F3,-139.34701,20.279591,180.0,top
F4,-138.4625,41.965959,180.0,top
F5,-138.4625,39.965959,180.0,top
F78,-7.002617,14.256974,0.0,top
F79,-7.002617,20.256974,0.0,top
H5,-59.774999,70.156974,180.0,top
H6,-123.374999,70.156974,180.0,top
H7,-12.604262,35.366974,90.0,top
H8,-12.58,10.376974,90.0,top
J15,-42.354999,10.376974,90.0,top
J16,-42.379262,35.366974,90.0,top
J3,-44.559999,69.536974,90.0,top
J4,-147.0925,35.656974,270.0,top
J5,-146.170184,16.296976,0.0,top
