Designator,Mid X,Mid Y,Rotation,Layer
D1,21.4,-15.0,270.0,bottom
D10,207.4,-15.0,270.0,bottom
D11,225.4,-15.0,270.0,bottom
D12,243.4,-15.0,270.0,bottom
D13,261.4,-15.0,270.0,bottom
D14,279.4,-15.0,270.0,bottom
D15,21.4,-32.0,270.0,bottom
D16,39.4,-32.0,270.0,bottom
D17,57.4,-32.0,270.0,bottom
D18,75.4,-32.0,270.0,bottom
D19,93.4,-32.0,270.0,bottom
D2,39.4,-15.0,270.0,bottom
D20,111.4,-32.0,270.0,bottom
D21,189.4,-32.0,270.0,bottom
D22,207.4,-32.0,270.0,bottom
D23,225.4,-32.0,270.0,bottom
D24,243.4,-32.0,270.0,bottom
D25,261.4,-32.0,270.0,bottom
D26,279.4,-32.0,270.0,bottom
D27,21.4,-49.1,270.0,bottom
D28,39.4,-49.1,270.0,bottom
D29,57.4,-49.1,270.0,bottom
D3,57.4,-15.0,270.0,bottom
D30,75.4,-49.1,270.0,bottom
D31,93.4,-49.1,270.0,bottom
D32,111.4,-49.1,270.0,bottom
D33,189.4,-49.0,270.0,bottom
D34,207.4,-49.0,270.0,bottom
D35,225.4,-49.0,270.0,bottom
D36,243.4,-49.0,270.0,bottom
D37,261.4,-49.0,270.0,bottom
D38,279.4,-49.0,270.0,bottom
D39,21.4,-66.1,270.0,bottom
D4,75.4,-15.0,270.0,bottom
D40,39.4,-66.1,270.0,bottom
D41,57.4,-66.1,270.0,bottom
D42,75.4,-66.1,270.0,bottom
D43,93.4,-66.1,270.0,bottom
D44,111.4,-66.1,270.0,bottom
D45,189.4,-66.1,270.0,bottom
D46,207.4,-66.1,270.0,bottom
D47,225.4,-66.1,270.0,bottom
D48,243.4,-66.1,270.0,bottom
D49,261.4,-66.1,270.0,bottom
D5,93.4,-15.0,270.0,bottom
D50,279.4,-66.1,270.0,bottom
D51,21.4,-83.1,270.0,bottom
D52,39.4,-83.1,270.0,bottom
D53,57.4,-83.1,270.0,bottom
D54,75.4,-83.1,270.0,bottom
D55,102.4,-83.1,270.0,bottom
D56,129.4,-83.1,270.0,bottom
D57,164.6,-83.0,270.0,bottom
D58,191.6,-83.1,270.0,bottom
D59,225.4,-83.1,270.0,bottom
D6,111.4,-15.0,270.0,bottom
D60,243.4,-83.1,270.0,bottom
D61,261.4,-83.1,270.0,bottom
D62,279.4,-83.1,270.0,bottom
D7,129.4,-15.0,270.0,bottom
D8,171.4,-15.0,270.0,bottom
D9,189.4,-15.0,270.0,bottom
